stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\chris\Desktop\Programacao\Estudo_C\POCs_Projeto\x64\Debug\allegro5.cfg r
system   D            wsystem.c:799  maybe_parent_dir                 [   0.00000] Also searching C:\Users\chris\Desktop\Programacao\Estudo_C\POCs_Projeto\x64\
system   D            wsystem.c:854  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:760  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:763  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:267  al_install_system                [   0.00000] Allegro version: 5.2.6
dtor     D               dtor.c:196  _al_register_destructor          [   0.00024] added dtor for timer 000001F5C00D2D40, func 00007FFE2A73104B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00034] added dtor for queue 000001F5C00E19D0, func 00007FFE2A731C17
system   D            wsystem.c:799  maybe_parent_dir                 [   0.00048] Also searching C:\Users\chris\Desktop\Programacao\Estudo_C\POCs_Projeto\x64\
system   D            wsystem.c:854  _al_win_safe_load_library        [   0.00065] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:760  load_library_at_path             [   0.00072] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:763  load_library_at_path             [   0.00436] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:684  d3d_init_display                 [   0.06052] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1778 d3d_create_display_locked        [   0.06231] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1779 d3d_create_display_locked        [   0.06250] al_display=000001F5C213C7B0
d3d      D         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.06257] al_display->vt=000001F5C1F223E0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.06675] found 160 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.06687] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06694] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06703] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
